id, name, group, country, brand, color,thickness, width, length, priceEURO, weight, ultra
72,"СПК Terner Plast Premium - 10 років кольоровий 6,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,кольоровий,"6,00","2100,00","6000,00","7,97","0,85",FALSE
73,"СПК Terner Plast Premium - 10 років кольоровий 8,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,кольоровий,"8,00","2100,00","6000,00","10,32","1,10",FALSE
74,"СПК Terner Plast Premium - 10 років кольоровий 10,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,кольоровий,"10,00","2100,00","6000,00","12,19","1,30",FALSE
75,"СПК Terner Plast Premium - 10 років кольоровий 16,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,кольоровий,"16,00","2100,00","6000,00","21,57","2,30",FALSE
76,"СПК Terner Plast Premium - 10 років кольоровий 16,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,кольоровий,"16,00","2100,00","6000,00","22,51","2,40",FALSE
77,"СПК Terner Plast Premium - 10 років кольоровий 20,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,кольоровий,"20,00","2100,00","6000,00","25,32","2,70",FALSE
78,"СПК Terner Plast Premium - 10 років кольоровий 25,00 мм",СПК,Сербія,Terner Plast Premium - 10 років,кольоровий,"25,00","2100,00","6000,00","30,01","3,20",FALSE
79,"СПК Terner Plast Elite - 15 років прозорий 4,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,прозорий,"4,00","2100,00","6000,00","6,25","0,70",FALSE
80,"СПК Terner Plast Elite - 15 років прозорий 6,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,прозорий,"6,00","2100,00","6000,00","10,72","1,20",FALSE
81,"СПК Terner Plast Elite - 15 років прозорий 8,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,прозорий,"8,00","2100,00","6000,00","12,95","1,45",FALSE
82,"СПК Terner Plast Elite - 15 років прозорий 10,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,прозорий,"10,00","2100,00","6000,00","15,19","1,70",FALSE
83,"СПК Terner Plast Elite - 15 років прозорий 16,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,прозорий,"16,00","2100,00","6000,00","20,55","2,30",FALSE
84,"СПК Terner Plast Elite - 15 років прозорий 20,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,прозорий,"20,00","2100,00","6000,00","26,80","3,00",FALSE
85,"СПК Terner Plast Elite - 15 років прозорий 25,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,прозорий,"25,00","2100,00","6000,00","31,27","3,50",FALSE
86,"СПК Terner Plast Elite - 15 років кольоровий 4,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,кольоровий,"4,00","2100,00","6000,00","6,57","0,70",FALSE
87,"СПК Terner Plast Elite - 15 років кольоровий 6,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,кольоровий,"6,00","2100,00","6000,00","11,26","1,20",FALSE
88,"СПК Terner Plast Elite - 15 років кольоровий 8,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,кольоровий,"8,00","2100,00","6000,00","13,60","1,45",FALSE
89,"СПК Terner Plast Elite - 15 років кольоровий 10,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,кольоровий,"10,00","2100,00","6000,00","15,95","1,70",FALSE
90,"СПК Terner Plast Elite - 15 років кольоровий 16,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,кольоровий,"16,00","2100,00","6000,00","21,57","2,30",FALSE
91,"СПК Terner Plast Elite - 15 років кольоровий 20,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,кольоровий,"20,00","2100,00","6000,00","28,14","3,00",FALSE
92,"СПК Terner Plast Elite - 15 років кольоровий 25,00 мм",СПК,Сербія,Terner Plast Elite - 15 років,кольоровий,"25,00","2100,00","6000,00","32,83","3,50",FALSE
93,"МПК Standart - 15 років прозорий 1,80 мм",МПК,Сербія,Standart - 15 років,прозорий,"1,80","2050,00","3050,00","18,99","2,16",FALSE
94,"МПК Standart - 15 років прозорий 2,70 мм",МПК,Сербія,Standart - 15 років,прозорий,"2,70","2050,00","3050,00","28,49","3,24",FALSE
95,"МПК Standart - 15 років прозорий 3,60 мм",МПК,Сербія,Standart - 15 років,прозорий,"3,60","2050,00","3050,00","37,99","4,32",FALSE
96,"МПК Standart - 15 років прозорий 4,50 мм",МПК,Сербія,Standart - 15 років,прозорий,"4,50","2050,00","3050,00","47,48","5,40",FALSE
